[96365, 96404, 96657, 96657, 96657, 96657, 96657, 96657, 96682, 96682]
[0.06941747665405273, 0.06206226348876953, 0.06226706504821777, 0.06368184089660645, 0.07608294486999512, 0.06271815299987793, 0.06354355812072754, 0.061554908752441406, 0.0628669261932373, 0.06464219093322754]

[96539, 97019, 97019, 97019, 97418, 97418, 97418, 97418, 97418, 97418]
[0.1289680004119873, 0.1298816204071045, 0.12747406959533691, 0.13235807418823242, 0.12903547286987305, 0.1423037052154541, 0.12675809860229492, 0.12890934944152832, 0.13282465934753418, 0.12988901138305664]

[96785, 96785, 96984, 97155, 97155, 97155, 97155, 97155, 97155, 97155]
[0.19243955612182617, 0.1965465545654297, 0.188720703125, 0.1965794563293457, 0.18993020057678223, 0.196549654006958, 0.19482827186584473, 0.1931755542755127, 0.19063377380371094, 0.19971179962158203]

[96413, 96931, 96931, 97084, 97084, 97084, 97084, 97084, 97084, 97084]
[0.2588615417480469, 0.28011035919189453, 0.26353883743286133, 0.26602888107299805, 0.2654561996459961, 0.2749521732330322, 0.26419925689697266, 0.2695503234863281, 0.2619004249572754, 0.251051664352417]

[96845, 96935, 96935, 97035, 97035, 97035, 97035, 97039, 97119, 97119]
[0.3437051773071289, 0.32431578636169434, 0.33649277687072754, 0.35177111625671387, 0.349562406539917, 0.35671210289001465, 0.33809590339660645, 0.3387725353240967, 0.328080415725708, 0.3308854103088379]
