[491, 485, 525, 439, 549, 639, 393, 613, 504, 386]
[0.006725788116455078, 0.008872032165527344, 0.005697965621948242, 0.008628606796264648, 0.007592201232910156, 0.008915185928344727, 0.0060079097747802734, 0.00917363166809082, 0.007523059844970703, 0.007926702499389648]

[487, 632, 479, 636, 505, 454, 543, 533, 625, 628]
[0.00951242446899414, 0.009765625, 0.008629560470581055, 0.008363962173461914, 0.00957036018371582, 0.009275674819946289, 0.008621692657470703, 0.008829355239868164, 0.009556770324707031, 0.008762598037719727]

[536, 577, 575, 540, 536, 575, 485, 470, 632, 642]
[0.010504484176635742, 0.010841608047485352, 0.010099411010742188, 0.008754730224609375, 0.008405447006225586, 0.010506868362426758, 0.007837533950805664, 0.010935783386230469, 0.011312007904052734, 0.010439157485961914]

[540, 596, 571, 591, 501, 541, 551, 626, 483, 586]
[0.008661508560180664, 0.011237382888793945, 0.010885000228881836, 0.01229715347290039, 0.01303410530090332, 0.011409997940063477, 0.011669158935546875, 0.009610176086425781, 0.009685039520263672, 0.011508703231811523]

[616, 524, 639, 614, 627, 566, 563, 535, 597, 588]
[0.013687849044799805, 0.01235818862915039, 0.011694908142089844, 0.011635065078735352, 0.014309883117675781, 0.013084888458251953, 0.008727550506591797, 0.012824296951293945, 0.013640642166137695, 0.013966798782348633]
